City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Manaure,CO,2021-07-20 01:51:04,11.7751,-72.4445,82.58,70,2,19.48,clear sky
60,Kutum,SD,2021-07-20 01:51:04,14.2,24.6667,73.44,69,71,14.45,broken clouds
61,Uige,AO,2021-07-20 01:51:05,-7.6087,15.0613,61.18,70,23,3.53,few clouds
62,Altay,CN,2021-07-20 01:51:05,47.8667,88.1167,77.72,25,13,2.1,few clouds
63,Sao Joao Da Barra,BR,2021-07-20 01:51:05,-21.6403,-41.0511,65.14,53,44,15.77,scattered clouds
64,Nanortalik,GL,2021-07-20 01:47:17,60.1432,-45.2371,41.77,91,30,10.29,scattered clouds
65,Vardo,NO,2021-07-20 01:51:06,70.3705,31.1107,45.05,72,95,16.98,overcast clouds
66,Carnarvon,AU,2021-07-20 01:51:06,-24.8667,113.6333,66.27,78,74,10.36,broken clouds
67,Port Alfred,ZA,2021-07-20 01:51:00,-33.5906,26.891,58.44,87,100,8.93,overcast clouds
68,Miranda,CO,2021-07-20 01:51:07,3.2499,-76.2281,75.33,68,12,6.4,few clouds
69,Vila Do Maio,CV,2021-07-20 01:51:07,15.1333,-23.2167,75.99,88,10,17.27,clear sky
70,Shedok,RU,2021-07-20 01:51:07,44.2179,40.8487,68.0,45,0,5.01,clear sky
71,Maputo,MZ,2021-07-20 01:51:07,-25.9653,32.5892,53.28,94,0,2.3,clear sky
72,Tokmak,UA,2021-07-20 01:51:08,47.2514,35.7058,75.0,66,0,5.68,clear sky
73,Ambrolauri,GE,2021-07-20 01:51:08,42.5211,43.1622,66.9,72,0,5.46,clear sky
74,Kavaratti,IN,2021-07-20 01:51:08,10.5669,72.642,82.4,76,67,15.9,broken clouds
75,Sambava,MG,2021-07-20 01:51:09,-14.2667,50.1667,69.49,88,56,13.27,light rain
76,Coihaique,CL,2021-07-20 01:51:09,-45.5752,-72.0662,44.55,93,75,3.44,shower rain
77,Nkhotakota,MW,2021-07-20 01:51:09,-12.9274,34.2961,64.22,69,0,6.22,clear sky
78,Warri,NG,2021-07-20 01:51:10,5.5167,5.75,74.25,92,100,4.74,overcast clouds
79,Lucea,JM,2021-07-20 01:51:10,18.451,-78.1736,84.06,81,61,9.17,broken clouds
80,Hamilton,US,2021-07-20 01:51:10,39.1834,-84.5333,76.39,75,1,3.44,clear sky
81,Kasama,ZM,2021-07-20 01:51:11,-10.2129,31.1808,48.06,81,0,3.29,clear sky
82,Bambous Virieux,MU,2021-07-20 01:47:14,-20.3428,57.7575,70.05,68,40,12.66,scattered clouds
83,Atlantic City,US,2021-07-20 01:51:11,39.3643,-74.4229,79.02,73,1,6.91,clear sky
84,Gornoye Loo,RU,2021-07-20 01:51:12,43.7129,39.6049,71.38,43,0,5.7,clear sky
85,Souillac,MU,2021-07-20 01:51:12,-20.5167,57.5167,70.18,68,40,12.66,scattered clouds
86,Cockburn Town,TC,2021-07-20 01:51:12,21.4612,-71.1419,81.55,85,4,22.32,clear sky
87,Gemena,CD,2021-07-20 01:51:13,3.25,19.7667,69.93,89,100,0.87,overcast clouds
88,Hals,DK,2021-07-20 01:51:13,56.9961,10.3081,57.0,81,35,16.33,scattered clouds
