City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mgandu,TZ,2021-07-18 20:54:32,-5.95,34.1333,58.28,46,77,4.7
67,Boone,US,2021-07-18 20:54:33,39.0334,-92.3335,85.8,61,31,4.0
68,Walvis Bay,NA,2021-07-18 20:48:25,-22.9575,14.5053,74.79,29,16,12.19
69,Samana,DO,2021-07-18 20:54:33,19.2056,-69.3369,82.62,78,75,4.61
70,Gazojak,TM,2021-07-18 20:54:33,41.1875,61.4036,85.8,14,23,9.64
71,Inhambane,MZ,2021-07-18 20:53:32,-23.865,35.3833,67.17,84,91,15.05
72,Sistranda,NO,2021-07-18 20:54:34,63.7256,8.834,53.91,77,83,28.23
73,Oranjemund,NA,2021-07-18 20:53:58,-28.55,16.4333,63.52,52,0,4.9
74,Trincomalee,LK,2021-07-18 20:54:34,8.5711,81.2335,79.83,79,19,20.04
75,Prado,BR,2021-07-18 20:54:34,-17.3411,-39.2208,72.7,84,1,9.66
76,Palmas De Monte Alto,BR,2021-07-18 20:54:35,-14.2672,-43.1619,79.81,24,0,2.51
77,Mayenne,FR,2021-07-18 20:54:35,48.3333,-0.6667,72.84,87,0,7.49
78,Dikson,RU,2021-07-18 20:52:48,73.5069,80.5464,35.56,89,24,5.57
79,Matagami,CA,2021-07-18 20:54:36,49.7502,-77.6328,68.11,60,1,6.91
80,Luderitz,NA,2021-07-18 20:53:01,-26.6481,15.1594,66.09,44,0,6.85
81,Tukrah,LY,2021-07-18 20:54:36,32.5341,20.5791,78.49,70,25,11.81
82,Pimentel,PE,2021-07-18 20:54:36,-6.8367,-79.9342,75.49,80,0,4.0
83,Grand Gaube,MU,2021-07-18 20:54:08,-20.0064,57.6608,70.38,63,3,3.0
84,Marquette,US,2021-07-18 20:54:37,46.5333,-87.6335,84.78,60,30,7.45
85,Ugoofaaru,MV,2021-07-18 20:52:46,5.6667,73.0,82.83,73,100,12.8
86,Matara,LK,2021-07-18 20:54:37,5.9485,80.5353,79.14,82,90,13.18
87,Isabela,PH,2021-07-18 20:54:38,6.7085,121.9711,77.92,84,93,2.04
88,Torbay,CA,2021-07-18 20:53:12,47.6666,-52.7314,77.77,49,40,18.41
89,Pangnirtung,CA,2021-07-18 20:52:40,66.1451,-65.7125,46.4,93,90,9.22
90,Sur,OM,2021-07-18 20:54:39,22.5667,59.5289,86.18,67,13,14.03
91,Zharkent,KZ,2021-07-18 20:54:39,44.1628,80.0,70.66,33,75,2.57
92,Hobyo,SO,2021-07-18 20:54:40,5.3505,48.5268,76.84,79,83,24.9
93,Arraial Do Cabo,BR,2021-07-18 20:52:36,-22.9661,-42.0278,73.36,88,75,6.91
94,Krasnoselkup,RU,2021-07-18 20:54:22,65.7,82.4667,44.1,73,2,5.53
95,Fomboni,KM,2021-07-18 20:54:40,-12.28,43.7425,76.59,75,2,14.97
96,Alenquer,BR,2021-07-18 20:53:02,-1.9417,-54.7383,86.34,56,58,4.63
97,Manjeshwar,IN,2021-07-18 20:54:41,12.7194,74.8861,77.36,89,100,9.91
98,Zhanaozen,KZ,2021-07-18 20:54:41,43.3,52.8,89.92,24,66,9.37
99,Marabba,SD,2021-07-18 20:54:42,12.35,32.1833,81.93,58,100,12.86
100,Hithadhoo,MV,2021-07-18 20:52:53,-0.6,73.0833,80.78,74,24,1.77
101,Balykshi,KZ,2021-07-18 20:54:42,47.0667,51.8667,77.0,31,0,6.71
102,Marawi,PH,2021-07-18 20:53:03,7.9986,124.2928,66.65,89,90,5.23
103,Saint George,US,2021-07-18 20:51:01,37.1041,-113.5841,98.64,30,1,1.99
104,Lagoa,PT,2021-07-18 20:53:07,39.05,-27.9833,68.09,76,1,16.17
105,Ciudad Bolivar,VE,2021-07-18 20:54:43,8.1222,-63.5497,87.89,56,85,6.62
106,Orta Nova,IT,2021-07-18 20:54:43,41.3299,15.7107,75.07,78,10,6.91
107,Kastamonu,TR,2021-07-18 20:54:43,41.5,33.6667,67.96,62,19,2.13
108,Veraval,IN,2021-07-18 20:54:44,20.9,70.3667,82.96,81,100,16.87
109,Ritchie,ZA,2021-07-18 20:54:44,-29.038,24.6028,42.01,22,0,8.21
110,Jizan,SA,2021-07-18 20:54:44,17.3333,42.6667,90.54,54,28,5.84
111,Kautokeino,NO,2021-07-18 20:54:45,69.0125,23.0412,45.93,78,44,5.08
